Benchmark,Baseline NIQE,PD-MAE NIQE,Delta,Status,,,,,
Canon,7.14,6.82,-0.31,✓,,,,,
Nikon,7.34,6.78,-0.56,✓,,,,,
Set14,7.37,7.18,-0.18,✓,,,,,
BSDS100,7.42,6.57,-0.85,✓,,,,,
Urban100,6.01,5.63,-0.38,✓,,,,,
Set5,7.85,8.12,0.27,x,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Model,Backbone,MAE,Iter,Canon PSNR,Canon NIQE,Nikon PSNR,Set5 PSNR,,
DRCT baseline,DRCT,,100k,27.04,8.64,26.57,26.68,,
PD-MAE-DRCT,DRCT,✓,100k,27.15,8.68,26.64,26.74,,
DRCT baseline,DRCT,,200k,27.02,6.75,26.45,27.04,,
PD-MAE-DRCT,DRCT,✓,200k,27.01,6.97,26.4,26.91,,
DRCT baseline,DRCT,,300k,27.13,7.09,26.55,27.3,,
PD-MAE-DRCT,DRCT,✓,300k,27.13,6.98,26.56,27.21,,
DRCT baseline,DRCT,,400k,27.14,7.11,26.58,27.38,,
PD-MAE-DRCT,DRCT,✓,400k,27.15,6.95,26.58,27.33,,
DRCT baseline,DRCT,,500k,27.18,7.14,26.59,27.59,,
PD-MAE-DRCT,DRCT,,500k,27.22,6.95,26.64,27.49,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
PSNR/SSIM + NIQE tại 500k,,,,,,,,,
Model,Canon PSNR,Canon NIQE,Nikon PSNR,Nikon NIQE,Set5 PSNR,BSDS100 PSNR,BSDS100 NIQE,Urban100 PSNR,Urban100 NIQE
DRCT baseline,27.18,7.14,26.59,7.34,27.59,23.93,7.42,21.59,6.01
PD-MAE-DRCT,27.22,6.82,26.64,6.78,27.49,23.88,6.57,21.49,5.63
Delta,0.04,-0.31,0.05,-0.56,-0.1,-0.05,-0.85,-0.1,-0.38
